City, Latitude, Longitude
New York, 40.7128, -74.0060
London, 51.5074, -0.1278
Tokyo, 35.6895, 139.6917
Paris, 48.8566, 2.3522
Sydney, -33.8688, 151.2093
Beijing, 39.9042, 116.4074
Rome, 41.9028, 12.4964
Cairo, 30.0444, 31.2357
Moscow, 55.7558, 37.6176
Dubai, 25.276987, 55.296249
Mumbai, 19.0760, 72.8777
Rio de Janeiro, -22.9068, -43.1729
Cape Town, -33.9249, 18.4241
Toronto, 43.65107, -79.347015
New York City,40.7128,-74.0060
Los Angeles,34.0522,-118.2437
Chicago,41.8781,-87.6298
San Francisco,37.7749,-122.4194
London,51.5074,-0.1278
Paris,48.8566,2.3522
Berlin,52.5200,13.4050
Madrid,40.4168,-3.7038
Tokyo,35.6895,139.6917
Beijing,39.9042,116.4074
Shanghai,31.2304,121.4737
